id,question,answer,label
284,Who made a comment about the students riding to the ceremony?,Gen. Preston,1.0
285,What did Gen. Preston say about the students being hauled about in ambulances?,He said it was 'd_____ poor militia that had to be hauled about in ambulances.',1.0
286,What did students organize during the college's inaugural year?,A literary society,1.0
287,When did the Lee Literary Society and the Maury Literary Society form?,In 1873,1.0
288,What were the focuses of the Lee Literary Society and the Maury Literary Society?,"Public speaking, debate, and creative writing",1.0
289,"When was The Gray Jacket, the first student publication, started?",In 1875,1.0
290,Who served on the joint committee representing Maury Literary Society?,Add,1.0
291,Which societies concurred with Maury Literary Society for an Inter-collegiate Association of Virginia convention?,The societies of Washington and Graham-Lee,1.0
292,Where was the Inter-collegiate Association of Virginia convention held?,Lynchburg,1.0
293,When did the 1876 issue of The Gray Jacket mention the committee?,1876,1.0
294,When did the first school year at V.A.M.C. start?,"October 1, 1872",1.0
295,When did the first school year at V.A.M.C. end?,"The last Wednesday in July, 1873",1.0
296,What happened during the second year at V.A.M.C.?,Summer vacation was replaced with a vacation that began around Christmas and lasted until late February,1.0
297,Why was the winter vacation preferred at V.A.M.C.?,"It was best suited for an institution of this character because the study of farm operations is interrupted at a less important season of the year and students from other sections of the country, while escaping the severity of winter in the mountains, will remain at College during the most pleasant and healthful part of the year",1.0
298,Whose report card was donated to Virginia Tech?,Add,1.0
299,When was Add's report card donated to Virginia Tech?,1992,1.0
300,Who donated Add's report card to Virginia Tech?,Frank Caldwell,1.0
301,What year was Add's report card from?,1875,1.0
302,Where was Add's father located when he received the report card?,Craig County,1.0
303,What were Add's grades listed on his report card?,Unknown,1.0
304,What subjects did Add study in their intermediate year?,"Mathematics, Chemistry, Natural History, Composition and Rhetoric, French, Composition (written), Military Tactics, Farm work",1.0
305,What was Add's grade in Mathematics?,5,1.0
306,What was Add's grade in Chemistry?,7,1.0
307,What exam does the university archives have a copy of?,1875 chemistry exam,1.0
308,What was Add's grade in Natural History?,8,1.0
309,What was Add's grade in Composition and Rhetoric?,7.5,1.0
310,What was Add's grade in French?,8,1.0
311,What was Add's grade in Composition (written)?,10,1.0
312,What was Add's grade in Military Tactics?,9.5,1.0
313,What was Add's grade in Farm work?,10,1.0
314,What is the name of the college mentioned in the paragraph?,Virginia Tech,0.0
315,What is the topic of the paragraph?,Senior Year,0.0
316,What subject is mentioned in the paragraph?,Book-Keeping,0.0
317,How many years does senior year typically last?,1,0.0
318,Who graduated from V.A.M.C. with the college's second graduating class in the 1876 commencement exercises?,William Addison Caldwell,1.0
319,When did the 1876 commencement exercises begin?,August 6,1.0
320,Who delivered the sermon during the 1876 commencement exercises?,Rev. Oscar F. Flippo of Baltimore,1.0
321,Who delivered the fourth annual address before the literary societies during the 1876 commencement exercises?,Maj. John W. Daniel of Lynchburg,1.0
322,Who responded in a brief but able and eloquent speech during the 1876 commencement exercises?,Governor Kemper,1.0
323,Who reviewed the corps along with the college's Board of Visitors during the 1876 commencement exercises?,Governor Kemper,1.0
324,When were the diplomas presented during the 1876 commencement exercises?,August 9,1.0
325,What did students receive at that time instead of degrees during the 1876 commencement exercises?,graduate certificates,1.0
326,Who delivered the annual address to faculty and students during the 1876 commencement exercises?,Gen. J.H. Williams of Winchester,1.0
327,When did the alumni meeting take place?,August 9th,1.0
328,Where did the alumni meeting take place?,Lee Society hall,1.0
329,Who gave remarks at the alumni meeting?,President Minor and J. Lawrence Radford,1.0
330,Who was elected as secretary of the alumni association?,Add,1.0
331,What did Add do after graduation?,May have returned to Craig County to teach school.,1.0
332,In what year did an editor of The Gray Jacket complain about the career choices of the 'Old Boys'?,1877,1.0
333,What did the editor complain about?,That 'so few of our 'Old Boys' are farmers' and that 'so many of them became teachers.',1.0
334,Why did the editor say that the 'Old Boys' were teaching?,"Because they were teaching public schools in their immediate neighborhoods and the session of these schools held only through a part of the fall, winter, and spring months.",1.0
335,What were the 'Old Boys' doing in summer?,Farming,1.0
336,How many teachers did Craig County employ in 1880?,26,1.0
337,Where was Add living in 1887?,Roanoke,1.0
338,Who did Add possibly live with in Roanoke?,"His youngest brother, E. Gambill 'Gam' Caldwell",1.0
339,Where did Add work in 1887?,The general office of Norfolk and Western,1.0
340,What church did Add attend in 1887?,First Presbyterian Church,1.0
341,Did Add's brothers also work for Norfolk and Western?,"Yes, both Gam and Frank worked for Norfolk and Western at one time",1.0
342,Where did Add move to around 1898?,"Wilmington, N.C.",1.0
343,When did Add move his church membership to Wilmington?,March of 1902,1.0
344,What business was Add interested in Roanoke?,real estate,1.0
345,Is it known if Add derived an income from the sale of property?,No,1.0
346,How was Add described in his work at the railroad office?,a well known and popular employee,1.0
347,Where did Add work in Wilmington?,"Several large wholesale firms on the wharf: the Stove Company, Mr. W.B. Cooper, Messrs. Blair & Haly, and the C.C. Covington Company",1.0
348,What type of firms did Add work for in Wilmington?,Several large wholesale firms on the wharf,1.0
349,Did Add travel out of Wilmington for work?,Yes,1.0
350,What did the Virginia Tech Alumni Association report about Add?,That he had been a salesman for a molasses firm,1.0
351,When did the Virginia Tech Alumni Association report this about Add?,In 1911,1.0
352,Where did Add leave his homeplace?,Craig County,1.0
353,Where did Mic move to?,Radford,1.0
354,What did Mic persuade his parents to do?,Sell the family farm in Sinking Creek and move to Radford,1.0
355,Who moved with their parents to a house across the street from Mic?,Grace and Nell,1.0
356,Did Add ever visit his relatives in Radford?,"Yes, during summer vacations",1.0
357,When did Add's health decline?,Sometime before 1910.,1.0
358,What did Add undergo surgery for?,A brain tumor.,1.0
359,Where did Add recuperate from the operation?,At his mother's home.,1.0
360,When did Add's father die?,Around 1904.,1.0
361,What did the doctor recommend to Add for his health?,Salt air.,1.0
362,Where did Add secure a position as a clerk?,The Tangmoore (or Tarrymoore) Hotel at Wrightsville Beach near Wilmington.,1.0
363,When did Add start his job at the hotel?,Around the first of June.,1.0
364,How long was Add's job at the hotel supposed to last?,Until September 1.,1.0
365,When was the letter written?,"June 15, 1910",1.0
366,Who wrote the letter?,Add,1.0
367,Who was the letter addressed to?,his niece,1.0
368,What did Add do with his niece?,play games and help her with chores,1.0
369,What did Add admit about the hotel?,It was a fine place to spend the summer,1.0
370,Where did Add say he would rather be?,Radford,1.0
371,How long have you been here?,Not long enough.,0.0
372,Are you able to tell whether the salt air is benefiting you?,Not yet.,0.0
373,How are you feeling?,"About the same, neither worse nor better.",0.0
374,Who closed the letter?,Add,0.0
375,Who was the letter addressed to?,Mrs. Mendez,0.0
376,How old was Mrs. Mendez at the time?,nine years old,0.0
377,Who did Add want Mrs. Mendez to remember him to?,her grandmother (his mother),0.0
378,What did Add send to all of them?,much love,0.0
379,Who did Add send especially much love to?,Mrs. Mendez,0.0
380,When did Add die?,"June 29, 1910",1.0
381,Where was Add taken to the hospital?,Wilmington,1.0
382,Where was Add's funeral held?,Radford,1.0
383,Who conducted Add's funeral service?,Dr. W.C. Campbell,1.0
384,Where was Add buried?,Caldwell family cemetery in Radford,1.0
385,How long after writing the letter did Add faint?,A few days,0.0
386,What was the cause of Add's fainting?,A severe fall resulting in a head injury,1.0
387,How many pastors assisted Dr. W.C. Campbell in conducting the service?,Three,1.0
388,Who donated a letter to Virginia Tech?,William Addison Caldwell's niece,0.0
389,What was donated to Virginia Tech in 1989?,William Addison Caldwell's bible,1.0
390,What is the name of the university that was to become Virginia Tech?,Virginia Tech,1.0
391,Who presented the university with William Addison Caldwell's bible?,A nephew and namesake in Radford,1.0
392,What is Lane Hall originally known as?,Barracks No. 1,1.0
393,What disciplines are the offices in Lane Hall for?,College of Liberal Arts and Human Sciences,1.0
394,What is the tradition that cadets continue in front of Lane Hall?,Standing retreat each evening,1.0
395,When was Lane Hall completed?,1888,1.0
396,What additions will be made to Lane Hall during the renovations?,Classrooms and a more suitable space for the Corps of Cadets Museum,1.0
397,When was the game cannon of the Virginia Tech Corps of Cadets born?,In the dreams of three cadets of the class of 1964.,1.0
398,Where was the game cannon tested?,In the heat of battle between VPI and VMI.,0.0
399,Who were the two close friends in the Corps of Cadets?,"""Butch"" Harper and ""Sonny"" Hickam.",1.0
400,Where were Butch and Sonny sitting in anticipation of the Thanksgiving Game with VMI?,In the stands of Victory Stadium in Roanoke.,1.0
401,What did VMI bring to the game?,"Their game cannon called ""Little John"".",1.0
402,What did Butch and Sonny vow to do?,They vowed to build the largest game cannon in the world for Virginia Tech.,1.0
403,How did they plan to fund the construction of the cannon?,They planned to get the money from the Corps itself with some help from Alumni.,1.0
404,What idea did Sonny come up with?,Sonny came up with the idea to have a wooden mold made of the barrel at their college of mechanical engineering.,1.0
405,Who did Ben approach for permission to be on the Regimental Staff?,"General Scheve, the Commandant of Cadets.",1.0
406,What position did Ben request on the Regimental Staff?,"Regimental S-2, the Information Officer.",1.0
407,How did the General react to Ben's request?,The General agreed to put Ben on the Regimental Staff.,1.0
408,What did the cannon barrel project involve?,The cannon barrel project involved creating a wooden mold of the barrel.,1.0
409,What rank did Sonny receive?,"Sonny was made an officer in ""A"" Squadron.",1.0
410,What rank did Ben receive?,"Ben was assigned as Regimental S-2, the Information Officer.",1.0
411,How did the Corps of Cadets contribute to funding the cannon?,"Each cadet brought back what they could spare, including one dollar and any brass they had.",1.0
412,"Why are there class numerals of 63, 64, 65, and 66 on the face of the barrel?","Because the cannon was built with the support and contributions of the classes of 63, 64, 65, and 66.",1.0
413,How did Butch and Sonny feel after each meeting?,They felt emotional and would see tears in each other's eyes.,1.0
414,Where did Sonny bring brass fittings from?,West Virginia,1.0
415,Where did they take the brass fittings and bullet casings?,Virginia Foundry Company in Roanoke Virginia,1.0
416,Who did the author call a few months before?,the President of the Company,0.0
417,What did the President of the Company offer to do?,make the barrel for free,0.0
418,Why did the foundry fill with the sound of gunfire?,because some of the shell casings were not empty,1.0
419,What did Hoffman recommend adding to the brass?,navy gun metal brass,1.0
420,Where did they find the place to make the carriage?,"Lorton Reformatory in Lorton, Virginia",1.0
421,What did they give to the Lorton Reformatory to make the carriage?,the money saved by not having to pay for the barrel,1.0
422,What did the cannon not have?,A name,1.0
423,What was the purpose of renting a truck?,To pick up the barrel and the carriage,1.0
424,Where did they stop first to pick up the barrel?,The Foundry in Roanoke,1.0
425,Who drove the chase car?,George Fox and a few others from A Squadron,1.0
426,What did the Foundry workers do when they picked up the barrel?,"Shook their hands, wished them well, and gave a big Tech cheer",1.0
427,Where was the carriage waiting?,At the Reformatory,1.0
428,How did they feel when they had the barrel and the carriage?,They felt accomplished and proud,1.0
429,Why did they feel a sense of foreboding on their way back?,Because they heard that the President had been shot in Dallas,1.0
430,What was the old military tradition they remembered?,Giving a 50 gun salute to the fallen leader at the death of a President,1.0
431,Why did they name their cannon 'Skipper'?,In honor of John Fitzgerald Kennedy and his naval background,1.0
432,What is the name of the cannon used for the salute?,Skipper,1.0
433,Who devised the special charges for the cannon?,Sonny,1.0
434,Where was Skipper placed for the salute?,On the lawn in front of Brodie and Rasche Halls,1.0
435,Who appeared when Skipper was being placed in position?,General Sheve,1.0
436,What did the General allow the cadets to do?,Proceed on building the cannon,1.0
437,What did the cadets fill the plastic bottles with?,Super fine black gunpowder,1.0
438,How did the cadets ensure the charge would explode?,They wrapped the bottles tightly with heavy tape,1.0
439,Why did the cadets create the salute?,To honor their fallen President,1.0
440,What tradition was born from the salute?,The tradition of firing Skipper,1.0
441,What was the plan for introducing 'Skipper' to the opposing Corps of Cadets at VMI?,Taking the cannon to Roanoke the night before the game and hiding it in the stadium.,1.0
442,Who was brought into the secret plan?,"Curt Tompkins, Captain of the 'Highty Tighties'.",1.0
443,What would the VMI Corps chant?,'Where's your cannon?',1.0
444,"What did Sonny, George, and the author do with the cannon?",They placed a triple charge into the cannon.,1.0
445,What did the cannon do when it was fired?,It blew the hats off of half of the VMI Corps and caused the press boxes to vibrate.,1.0
446,What was the name of the book Sonny wrote after retiring?,October Sky,1.0
447,How many tons of fireworks are used in 'Thunder Over Louisville'?,over 50 tons,1.0
448,How many aircraft are in the 'Thunder Over Louisville' show?,125,1.0
449,How many people watch the live audience of 'Thunder Over Louisville'?,"600,000",1.0
450,What is the moral of the story?,never do anything in college that you don't want to do the rest of your life,0.0
451,What is the living symbol of the Virginia Tech Corps of Cadets?,The Old Corps,1.0
452,What is the Virginia Tech Class Ring Tradition?,It is a tradition where the entire ring collection is redesigned for each class and rings are presented at a formal Ring Dance.,1.0
453,When did the Virginia Tech Class Ring Tradition begin?,It began with the Class of 1914.,1.0
454,What elements are included in the traditional ring collection?,"The traditional ring collection includes the screaming eagle, American flag, campus buildings, and an interlocking chain around the bezel.",1.0
455,What is the significance of selecting a Class namesake during the ring design process?,It is done as a dedication to a distinguished alumnus or university president.,1.0
456,When does the Ring Dance weekend take place?,It takes place in the spring of a student's junior year.,1.0
457,What does the Ring Dance weekend include?,"It includes a banquet honoring the ring collection's namesake, the formal Ring Dance, and fireworks.",1.0
458,Why do most Virginia Tech students order rings?,The strong ring tradition at Tech inspires most students to order rings.,1.0
459,What contributes to the remarkable quality and distinctive designs of Tech rings?,The fierce competition between major ring manufacturers for Tech's class ring business.,1.0
460,Which company was awarded the privilege of making Tech's 1971 class ring?,Jostens.,1.0
461,What guarantees does Jostens provide for the 1971 class ring?,"Jostens will resize the ring at no charge, replace broken encrusting at no charge if the stone is undamaged, replace the ring for any reason for $15 plus the old ring, refinish the ring at no charge, and complete repairs in three weeks and total replacements in four weeks.",1.0
462,What does the Class Program do to maintain the tradition of the Virginia Tech Class Ring?,"Through the Virginia Tech Alumni Association, the Class Program ensures that alumni have their class year confirmed before ordering or replacing a ring to ensure the continued integrity of the program.",1.0
463,Does Jostens require the Alumni Associations student certification for repairs/resizing?,"No, Jostens does not require the Alumni Associations student certification for repairs/resizing.",1.0
464,Where can you work directly with Jostens?,You can work directly with Jostens through their website.,1.0
465,How far back can almost all rings be replaced?,Almost all rings can be replaced dating back to 1923.,1.0
466,Where is the Virginia Tech Ring Display Case located?,The Virginia Tech Ring Display Case is located in the Williamsburg Room of Squires Student Center.,1.0
467,What does the Virginia Tech Ring Display Case house?,The Virginia Tech Ring Display Case houses Virginia Tech Class rings from 1914 to the present.,1.0
468,What were Virginia Tech's research and development expenditures in fiscal year 2019?,$542 million,1.0
469,Where did Virginia Tech rank among education institutions in the nation for research and development expenditures in fiscal year 2019?,48th,1.0
470,Where did Virginia Tech rank among education institutions in the state of Virginia for research and development expenditures in fiscal year 2019?,2nd,1.0
471,How many consecutive years of research growth has Virginia Tech achieved?,15,1.0
472,What was Virginia Tech's research portfolio in fiscal year 2000?,$192.7 million,1.0
473,What is Virginia Tech's ranking among public universities for research expenditures?,No. 23,1.0
474,Where does Virginia Tech's research expenditures rank among research universities and colleges?,In the top 5 percent,1.0
475,How many patents did Virginia Tech achieve in fiscal year 2013?,36,1.0
476,How many license and option agreements did Virginia Tech achieve in fiscal year 2013?,17,1.0
477,What is the focus of research at the Fralin Life Science Institute?,Vector-borne disease; infectious disease and microbial sciences; plant sciences; obesity; cancer biology; and ecology and organismal biology,1.0
478,When was the Fralin Biotechnology Center established?,1991,1.0
479,What is the focus of research at the Biocomplexity Institute of Virginia Tech?,"Bioinformatics, computational biology, and systems biology",1.0
480,When did the Biocomplexity Institute of Virginia Tech open?,2000,1.0
481,How many employees does the Biocomplexity Institute of Virginia Tech have?,More than 200,1.0
482,How much active research awards does the Biocomplexity Institute of Virginia Tech have?,$109 million,1.0
483,What was the Virginia Tech Transportation Institute founded as?,The Center for Transportation Research,1.0
484,When was the Virginia Tech Transportation Institute founded?,1988,1.0
485,How many personnel does the Virginia Tech Transportation Institute employ?,More than 350,1.0
486,How much active research awards does the Virginia Tech Transportation Institute have?,$125 million,1.0
487,What is the mission of the Virginia Tech Transportation Institute?,"To save lives, save time, save money, and protect the environment",1.0
488,What is the Virginia Smart Road?,"A 2.2-mile, two-lane, fully instrumented road",1.0
489,What is the National Tire Research Center?,A facility in Southern Virginia,1.0
490,What does VTTI research?,"Advanced transportation safety devices, techniques, and innovative applications",1.0
491,What are VTTI's naturalistic driving studies?,Studies that gather continuous video and driving performance data in real-world driving conditions,1.0
492,What is the Institute for Critical Technology and Applied Science focused on?,"The intersection of engineering, science, biology, and the humanities",1.0
493,When was the Institute for Critical Technology and Applied Science established?,2005,1.0
494,Who is the current director of the Institute for Critical Technology and Applied Science?,Dr. Stefan Duma,1.0
495,What are some of the research areas at the Institute for Critical Technology and Applied Science?,"Nuclear engineering, nanoscale science and engineering, nano-bio interface, sustainable energy, safe and sustainable water, national security, cognition and communication systems, renewable materials, and emerging technologies",1.0
496,What are some of the research areas conducted by other interdisciplinary groups at Virginia Tech?,"High-performance computing; advanced materials; wireless telecommunication; housing; human and animal health; cognition, development, and behavior; the environment; and energy",1.0
497,Where is the Virginia Tech campus located?,"Blacksburg, Virginia",1.0
498,What style are most of the buildings on the Virginia Tech campus?,Neo-Gothic,1.0
499,What are some notable green spaces on the Virginia Tech campus?,"Hahn Horticulture Garden, Virginia Tech Duck Pond, and Stadium Woods",1.0
500,What is the central campus of Virginia Tech bordered by?,"Prices Fork Road, Plantation Drive, Main Street, and US 460 Bypass",1.0
501,What is the Drillfield at Virginia Tech used for?,Military drills by the Virginia Tech Corps of Cadets,1.0
502,What waterway runs beneath the Drillfield?,Stroubles Creek,1.0
503,What is the Upper Quad at Virginia Tech?,The home of the Corps of Cadets' barracks,1.0
504,What building material is commonly used in buildings on the Virginia Tech campus?,Hokie Stone,1.0
505,What are Virginia Tech's strategic research areas of excellence?,"energy materials and environment, social and individual transformation, health, food, and nutrition, and innovative technologies and complex systems",1.0
506,Where is the Virginia Tech National Capital Region located?,"Alexandria, Arlington, Fairfax, Falls Church, Leesburg, Manassas, and Middleburg",1.0
507,What is the purpose of the Biomedical Technology Development and Management program?,It is a graduate level degree that focuses on medical product discovery and development and the emerging needs of industry and regulatory agencies,1.0
508,What programs does the Language and Culture Institute offer?,"Intensive English language programs for college-age students, professionals, and diplomats",1.0
509,Where is Virginia Tech's Caribbean Center for Education and Research located?,On the eastern tip of the Dominican Republic in Punta Cana,1.0
510,What is the name of Virginia Tech's European campus center?,Center for European Studies and Architecture (CESA),1.0
511,How many agricultural research and extension centers does Virginia Tech have?,11,1.0
512,What is the purpose of Virginia Tech's Central Steam Power Plant?,"To generate steam for campus buildings' heat, hot water, and electricity needs",1.0
513,How many student organizations are there on campus?,Over 700,1.0
514,What is the requirement for participation in the Virginia Tech Corps of Cadets?,"Until 1964, every able-bodied male was required to participate for four years. Now, participation is voluntary",1.0
515,How many fraternities and sororities are recognized at Virginia Tech?,23 IFC fraternities and 13 National Panhellenic Conference sororities,1.0
516,What are Virginia Tech's athletic teams known as?,The Hokies,1.0
517,What conference does Virginia Tech primarily compete in for all sports?,The Atlantic Coast Conference (ACC),1.0
518,What sports does Virginia Tech offer for men?,"baseball, basketball, cross country, football, golf, soccer, swimming & diving, tennis, track & field and wrestling",1.0
519,What sports does Virginia Tech offer for women?,"basketball, cross country, field hockey, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball",1.0
520,What are some of Virginia Tech's prominent athletic facilities?,"Lane Stadium, Cassell Coliseum, English Field, Thompson Field, Tech Softball Park, Rector Field House, the Beamer-Lawson Indoor Practice Facility, and the Christiansburg Aquatic Center",1.0
521,Who is a notable faculty member in the field of biomedical engineering at Virginia Tech?,Romesh Batra,1.0
522,Who is a notable faculty member in the field of geosciences at Virginia Tech?,Patricia Dove,1.0
523,Who is a notable faculty member in the field of civil and environmental engineering at Virginia Tech?,Marc Edwards,1.0
524,Who is a notable faculty member in the field of history at Virginia Tech?,Roger Ekirch,1.0
525,Who is a notable faculty member in the field of English at Virginia Tech?,Nikki Giovanni,1.0
526,Who is a notable faculty member in the field of virology at Virginia Tech?,Xiang-Jin Meng,1.0
527,Who is the current president of Virginia Tech?,Timothy Sands,1.0
528,How many alumni does Virginia Tech have internationally and from all 50 states?,"over 240,000",1.0
529,How many chapters does the Virginia Tech Alumni Association have?,over 100,1.0
530,How many generals and admirals has Virginia Tech produced?,97,1.0
531,How many Virginia Tech alumni have been awarded the Medal of Honor?,Eight,1.0
532,Whose names are inscribed on a marble cenotaph at the center of War Memorial Court on the Blacksburg campus?,the alumni who have been awarded the Medal of Honor,1.0
533,Who is the 41st governor of Iowa and a Virginia Tech alumni?,Chet Culver,1.0
534,Who is the ambassador to Germany and a Virginia Tech alumni?,William Dodd,1.0
535,Who is the ambassador to Barbados and a Virginia Tech alumni?,Linda Swartz Taglialatela,1.0
536,Who is a member of the House of Representatives and a Virginia Tech alumni?,Rob Wittman,1.0
537,Who is a member of Parliament for Harrow East and a Virginia Tech alumni?,Tony McNulty,1.0
538,Who is the 12th chairperson of the National Transportation Safety Board and a Virginia Tech alumni?,Deborah Hersman,1.0
539,Who is the 19th director of the Defense Advanced Research Projects Agency and a Virginia Tech alumni?,Regina Dugan,1.0
540,Who is the Director of the United States Census Bureau and a Virginia Tech alumni?,John H. Thompson,1.0
541,Who is a Senior Justice of the Supreme Court of Virginia and a Virginia Tech alumni?,Lawrence Koontz,1.0
542,Who is a member of the Virginia House of Delegates and a Virginia Tech alumni?,William K. Barlow and Matt Lohr,1.0
543,Who is a Newbery Medal recipient and a Virginia Tech alumni?,Kwame Alexander,1.0
544,Who is a former NASA engineer and a Virginia Tech alumni?,Homer Hickham,1.0
545,Who is a jazz guitarist and a Virginia Tech alumni?,Charlie Byrd,1.0
546,Who is a business executive and a Virginia Tech alumni?,Donaldson Brown,1.0
547,Who is the president and CEO of Boeing and a Virginia Tech alumni?,Dave Calhoun,1.0
548,Who is the president and CEO of Norfolk Southern and a Virginia Tech alumni?,Alan Shaw,1.0
549,Who is a television news anchor and a Virginia Tech alumni?,Hoda Kotb,1.0
550,Who are some notable Virginia Tech athletes?,"Nickeil Alexander-Walker, Frank Beamer, Allan Bristow, Kam Chancellor, Bimbo Coles, Dell Curry, Ace Custis, Renee Dennis, Bill Dooley, Jim Druckenmiller, Terrell Edmunds, Tremaine Edmunds, Bud Foster, Kendall Fuller, Kyle Fuller, Chuck Hartman, Sally Miles, Charles Moir, Johnny Oates, Bruce Smith, Tyrod Taylor, DeAngelo Hall, Isaiah Ford, Angela Tincher, and Michael Vick",1.0
551,"What is the population of Blacksburg, Virginia?","44,826",1.0
552,What is the name of the Metropolitan Statistical Area that includes Blacksburg?,Blacksburg-Christiansburg Metropolitan Statistical Area,1.0
553,What is the estimated population of the Blacksburg-Christiansburg MSA?,"181,863",1.0
554,What is the name of the high school in Blacksburg?,Blacksburg High School,0.0
555,What sports teams at Blacksburg High School are highly ranked?,"soccer, track, and cross-country",0.0
556,When was the Blacksburg Female Academy established?,1840,0.0
557,When was the Olin and Preston Institute established?,1851,0.0
558,When was the first bank in Montgomery County established?,1849,0.0
559,When was the first newspaper published in Blacksburg?,1869,0.0
560,When was Blacksburg incorporated as a village?,1871,0.0
561,When did the Virginia Agricultural and Mechanical College open?,"October 2, 1872",1.0
562,What is Virginia Tech informally referred to as?,Virginia Tech,1.0
563,When was the first fire-fighting unit organized within the university?,1899,1.0
564,When was the first automobile introduced to Blacksburg?,1901,0.0
565,When did the train enter Blacksburg from Christiansburg?,Three years later (1904),0.0
566,When was the first filling station opened in Blacksburg?,1919,0.0
567,When was the town's first landing strip built?,1929,0.0
568,When did local buses begin to make their rounds in Blacksburg?,1947,0.0
569,When was the town's first theater built?,1909,0.0
570,When were the first street lights installed on Main Street in Blacksburg?,Spring of 1935,0.0
571,Where was the second stoplight installed in Blacksburg?,On Main Street at Roanoke Street,0.0
572,Who became the first Blacksburg police officer in 1937?,Officer Dave 'Highpockets' Sumner,0.0
573,When was the first Blacksburg High School facility built?,1952,0.0
574,When did all high schools in Montgomery County begin operating on a twelve-grade basis?,1952,0.0
575,When were Margaret J. Beeks Elementary School and Gilbert F. Linkous Elementary School completed?,1963,0.0
576,When did Blacksburg High School move to its current location on Patrick Henry Drive?,1974,0.0
577,Who was appointed the first chief of police in Blacksburg in 1954?,Jack Goodwin,0.0
578,When did the last freight train arrive at the Blacksburg depot?,"June 30, 1966",0.0
579,When was the Huckleberry Trail opened to the public?,"December 1, 1998",0.0
580,When did the Corning Glass Works open a manufacturing facility in Blacksburg?,1964,0.0
581,When was the Virginia Tech Corporate Research Center's first ground-breaking ceremony?,1988,1.0
582,When did the Smart Road project break ground?,"July 8, 1997",0.0
583,When was the Virginia Tech shooting?,"April 16, 2007",1.0
584,When did the Blacksburg High School gymnasium roof collapse?,"February 13, 2010",0.0
585,What is the tallest building in Blacksburg?,Slusher Tower,0.0
586,What is the climate of Blacksburg?,Hot-summer humid continental climate,0.0
587,What highway connects Blacksburg to Roanoke?,US 460,0.0
588,What bus service provides transportation in Blacksburg?,Blacksburg Transit (BT),0.0
589,What airport is located near Blacksburg?,Roanoke-Blacksburg Regional Airport,0.0
590,What is the population of Blacksburg?,"44,826 people",0.0
591,What is the largest employer in Blacksburg?,Virginia Tech,0.0
592,What is the full name of Virginia Tech?,Virginia Polytechnic Institute and State University,1.0
593,Where is Virginia Tech located?,"Blacksburg, Virginia",1.0
594,How many degree programs does Virginia Tech offer?,280,1.0
595,What is the classification of Virginia Tech?,R1: Doctoral Universities – Very high research activity,1.0
596,What are the athletic teams at Virginia Tech called?,Virginia Tech Hokies,1.0
597,What conference do the Virginia Tech Hokies compete in?,Atlantic Coast Conference,1.0
598,How many alumni does Virginia Tech have worldwide?,"More than 240,000",1.0
599,When was Virginia Tech founded?,1872,1.0
600,Who was the first student at Virginia Tech?,Addison Caldwell,1.0
601,What is the Caldwell March?,A re-enactment of Addison Caldwell's journey to enroll at Virginia Tech,1.0
602,Who were some notable alumni of Virginia Tech?,"Rhodes Scholars, Marshall Scholars, Goldwater Scholars, Fulbright Scholars, Medal of Honor recipients, flag officers, astronauts, a billionaire, Nobel laureates, and a MacArthur Fellow",0.0
603,When did the display of the Confederate flag at Virginia Tech end?,1969,1.0
604,When did VPI admit its first female students?,1921,1.0
605,What was the first women's dormitory at VPI called?,Hillcrest Hall,1.0
606,Who was the first African American to graduate from VPI?,Charlie L. Yates,1.0
607,Who was the president of VPI from 1962 to 1974?,T. Marshall Hahn,1.0
608,When did VPI become Virginia Tech?,1970,1.0
609,What is the full legal name of Virginia Tech?,Virginia Polytechnic Institute and State University,1.0
610,What was the deadliest mass shooting on an American college campus?,Virginia Tech massacre,0.0
611,What prompted a nationwide debate over gun rights?,Virginia Tech massacre,0.0
612,When was the Virginia Tech Carilion School of Medicine and Research Institute founded?,"January 3, 2007",1.0
613,What is the admissions rate for Virginia Tech?,65.8%,1.0
614,What is the average SAT score for admitted students at Virginia Tech?,1250,1.0
615,What is the GPA requirement for students in the Honors College at Virginia Tech?,3.6,1.0
616,How many graduate students were enrolled in the Graduate School at Virginia Tech in 2013-14?,"6,723",1.0
617,What is the ranking of Virginia Tech's part-time MBA program by U.S. News & World Report?,19th,1.0
618,What is the ranking of Virginia Tech's undergraduate architecture program by The Princeton Review?,3rd,1.0
619,What was Virginia Tech's research and development expenditures in fiscal year 2019?,$542 million,1.0
620,Where did Virginia Tech rank among education institutions in terms of research and development expenditures?,48th,1.0
621,Which state did Virginia Tech rank 2nd in for research and development expenditures?,Virginia,1.0
622,How many consecutive years has Virginia Tech experienced research growth?,15,1.0
623,What was Virginia Tech's research portfolio in fiscal year 2000?,$192.7 million,1.0
624,What percentage of research universities and colleges does Virginia Tech's research expenditures rank in?,top 5 percent,1.0
625,What are some fields that Virginia Tech researchers pursue new discoveries in?,"agriculture, biotechnology, information and communication technology, human health, transportation, energy management, security, sustainability, engineering, scientific, social science, and creative fields",1.0
626,How many patents did Virginia Tech's research lead to in fiscal year 2013?,36,1.0
627,How many license and option agreements did Virginia Tech's research lead to in fiscal year 2013?,17,1.0
